Muscle Group,Exercise Name,Equipment,Video Links,Difficulty,Force,Grips,Mechanic,Instructions
Biceps,Barbell Curl,Barbell,"https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-curl-side.mp4#t=0.1",Intermediate,Pull,Underhand: Supinated,Isolation,"1. While holding the upper arms stationary, curl the weights forward while contracting the biceps as you breathe out. | 2. Continue the movement until your biceps are fully contracted and the bar is at shoulder level. | 3. Hold the contracted position for a second and squeeze the biceps hard. | 4. Slowly bring the weight back down to the starting position."
Biceps,Dumbbell Curl,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-curl-side.mp4#t=0.1",Novice,Pull,Underhand: Supinated,Isolation,1. Stand up straight with a dumbbell in each hand at arm's length. | 2. Raise one dumbbell and twist your forearm until it is vertical and your palm faces the shoulder. | 3. Lower to original position and repeat with opposite arm
Biceps,Dumbbell Hammer Curl,Dumbbells,"https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-hammer-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-hammer-curl-side.mp4#t=0.1",Novice,Pull,Neutral,Isolation,1. Hold the dumbbells with a neutral grip (thumbs facing the ceiling). | 2. Slowly lift the dumbbell up to chest height | 3. Return to starting position and repeat.
Biceps,Kettlebell Goblet Curl,Kettlebells,"https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-goblet-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-goblet-curl-side.mp4#t=0.1",Novice,,,,1. Stand up straight with a kettlebell in both hands in front of your pelvis. | 2. Raise the kettlebell bending your arms at the elbow until the kettlebell is level with your chest. | 3. Lower to the starting position and repeat.
Biceps,Kettlebell Concentration Curl,Kettlebells,"https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-concentration-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-concentration-curl-side.mp4#t=0.1",Intermediate,Pull,Underhand: Supinated,Isolation,"1. Sitting on a chair with your legs apart, rest your arm against your thigh and hold the kettlebell with your arm extended towards the floor. | 2. Bending your arm at the elbow, lift the kettlebell until your palm faces your shoulder. | 3. Lower to the starting position and repeat."
Biceps,Kettlebell Preacher Curl,Kettlebells,"https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-preacher-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-preacher-curl-side.mp4#t=0.1",Intermediate,Pull,Underhand: Supinated,Isolation,"1. Stand behind a bench, with your chest leaning over the edge of the bench. | 2. With one arm resting on the bench, hold the kettlebell, bending the arm at the elbow. | 3. Lower your arm using the bench as a guide, keeping your forearm straight. | 4. Return to the starting position and repeat."
Biceps,Kettlebell Single Arm Curl,Kettlebells,"https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-single-arm-curl-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-single-arm-curl-side.mp4#t=0.1",Beginner,,,,"1. Stand up straight with a kettlebell in one hand with your forearm facing out. | 2. Raise the kettlebell, bending your arm at the elbow and keeping your forearm vertical until your palm faces the shoulder. | 3. Lower to the starting position and repeat."
Biceps,Biceps Stretch Variation Five,Stretches,"https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-5-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-5-side.mp4#t=0.1",Novice,Hold,-,Isolation,"1. Stand upright with your feet shoulder width apart. | 2. Raise your arms out to your sides, bringing them up to shoulder level. | 3. Rotate your palms so they are facing the ceiling. | 4. Then, change direction and rotate the arms as much as you can."
Biceps,Biceps Stretch Variation Four,Stretches,"https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-4-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-4-side.mp4#t=0.1",Novice,Hold,-,Isolation,"1. Stand an arms width away from the wall. | 2. Raise your arms out behind you, and place them on the wall with your fingers pointing up. | 3. Bend your knees whilst keeping your hands in the same position."
Biceps,Biceps Stretch Variation Three,Stretches,"https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-3-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-biceps-stretch-variation-3-side.mp4#t=0.1",Novice,Hold,-,Isolation,"1. Bend your arm at the elbow, raising your hand to your shoulder. | 2. Using your other hand, stretch the arm down to its full extent."
